0.35,0.76,0.1225,0.5776,-1
0.15,-0.1,0.0225,0.01,1
-0.46,-0.76,0.2116,0.5776,1
0.56,0.03,0.3136,0.0009,1
-0.1,0.86,0.01,0.7396,-1
-0.39,-0.5,0.1521,0.25,1
0.91,-0.22,0.8281,0.0484,1
0.65,-0.55,0.4225,0.3025,1
-0.82,0.01,0.6724,0.0001,1
0.01,0.56,0.0001,0.3136,-1
0.6,-0.62,0.36,0.3844,1
0.53,0.25,0.2809,0.0625,1
0.9,0.12,0.81,0.0144,1
0.7,-0.58,0.49,0.3364,1
-0.62,-0.19,0.3844,0.0361,1
-0.98,-0.6,0.9604,0.36,1
0.9,-0.66,0.81,0.4356,1
0.79,-0.06,0.6241,0.0036,1
-0.03,0.53,0.0009,0.2809,-1
-0.51,0.3,0.2601,0.09,-1
-0.27,-0.55,0.0729,0.3025,1
-0.46,0.96,0.2116,0.9216,-1
-0.06,-0.83,0.0036,0.6889,1
-0.39,0.6,0.1521,0.36,-1
0.85,0.7,0.7225,0.49,-1
0.37,0,0.1369,0.0,1
0.5,1,0.25,1.0,-1
-0.05,0.43,0.0025,0.1849,-1
0.38,0.78,0.1444,0.6084,-1
-0.2,-0.43,0.04,0.1849,1
0.23,-0.95,0.0529,0.9025,1
0.97,1,0.9409,1.0,-1
0.27,-0.68,0.0729,0.4624,1
0.23,-0.44,0.0529,0.1936,1
0.02,-1,0.0004,1.0,1
0.32,-0.18,0.1024,0.0324,1
0.6,0.2,0.36,0.04,1
0.95,-0.45,0.9025,0.2025,1
-0.9,0.78,0.81,0.6084,1
-0.27,-0.26,0.0729,0.0676,1
-0.9,0.18,0.81,0.0324,1
0.15,0.18,0.0225,0.0324,-1
-0.11,0.26,0.0121,0.0676,-1
0.31,-0.6,0.0961,0.36,1
0.88,0.56,0.7744,0.3136,1
0.57,-0.92,0.3249,0.8464,1
-0.95,0.92,0.9025,0.8464,-1
0.79,0.3,0.6241,0.09,1
-0.07,-0.99,0.0049,0.9801,1
0.43,-0.15,0.1849,0.0225,1
0.65,0.27,0.4225,0.0729,1
0.51,-0.12,0.2601,0.0144,1
-0.63,-0.81,0.3969,0.6561,1
-0.07,0.03,0.0049,0.0009,-1
-0.71,-0.59,0.5041,0.3481,1
